room,date,area,event_min,max_min,year,month,day
A,6/9/09 0:00,988,720,1080,2009,June,9
A,6/10/09 0:00,988,90,1080,2009,June,10
A,6/11/09 0:00,988,600,1080,2009,June,11
A,6/12/09 0:00,988,1019,1080,2009,June,12
A,6/13/09 0:00,988,735,1080,2009,June,13
A,6/14/09 0:00,988,420,1080,2009,June,14
A,6/15/09 0:00,988,315,1080,2009,June,15
A,6/16/09 0:00,988,120,1080,2009,June,16
A,6/17/09 0:00,988,0,1080,2009,June,17
A,6/18/09 0:00,988,240,1080,2009,June,18
A,6/19/09 0:00,988,120,1080,2009,June,19
A,6/20/09 0:00,988,0,1080,2009,June,20
A,6/21/09 0:00,988,0,1080,2009,June,21
A,6/22/09 0:00,988,90,1080,2009,June,22
A,6/23/09 0:00,988,0,1080,2009,June,23
A,6/24/09 0:00,988,300,1080,2009,June,24
A,6/25/09 0:00,988,300,1080,2009,June,25
A,6/26/09 0:00,988,300,1080,2009,June,26
A,6/27/09 0:00,988,300,1080,2009,June,27
A,6/28/09 0:00,988,0,1080,2009,June,28
A,6/29/09 0:00,988,0,1080,2009,June,29
A,6/30/09 0:00,988,0,1080,2009,June,30
A,7/1/09 0:00,988,0,1080,2009,July,1
A,7/2/09 0:00,988,0,1080,2009,July,2
A,7/3/09 0:00,988,90,1080,2009,July,3
A,7/4/09 0:00,988,180,1080,2009,July,4
A,7/5/09 0:00,988,180,1080,2009,July,5
A,7/6/09 0:00,988,959,1080,2009,July,6
A,7/7/09 0:00,988,90,1080,2009,July,7
A,7/8/09 0:00,988,240,1080,2009,July,8
A,7/9/09 0:00,988,60,1080,2009,July,9
A,7/10/09 0:00,988,0,1080,2009,July,10
A,7/11/09 0:00,988,0,1080,2009,July,11
A,7/12/09 0:00,988,0,1080,2009,July,12
A,7/13/09 0:00,988,0,1080,2009,July,13
A,7/14/09 0:00,988,180,1080,2009,July,14
A,7/15/09 0:00,988,1079,1080,2009,July,15
A,7/16/09 0:00,988,1739,1080,2009,July,16
A,7/17/09 0:00,988,1200,1080,2009,July,17
